"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 11:25:00 GMT 2022","Wed Jun 01 11:25:06 GMT 2022","5664","Chromium","tests/verifyDepartments.spec.js","Access Career Page:","","","Navigate to Career Page and verify the department count",""
"passed","Wed Jun 01 11:25:06 GMT 2022","Wed Jun 01 11:25:13 GMT 2022","6775","Chromium","tests/verifyDepartments.spec.js","Access Career Page:","","","Navigate to Career Page and select  Marketing department",""
